year,month,day,statefips,State,gps_retail_and_recreation,gps_grocery_and_pharmacy,gps_parks,gps_transit_stations,gps_workplaces,gps_residential,gps_away_from_home
2020,2,26,53,WA,0.0557,0.00857,0.343,0.0514,0.00857,-0.00571,0.00718
2020,2,26,54,WV,0.0657,-0.00286,0.166,0.0343,0.0229,0,0.0025
2020,2,26,55,WI,0.0486,0.0329,0.207,0.03,0.03,-0.00429,0.00944
2020,2,26,56,WY,0.04,0.0629,0.0529,0.05,0.0243,0.00286,-0.00177
2020,2,27,1,AL,0.0629,0.0243,0.167,0.0957,0.0114,-0.00143,0.00216
2020,2,27,2,AK,0.0686,0.0243,0.0829,0.0329,0.0314,-0.00429,0.00685
2020,2,27,4,AZ,0.0486,0.0129,0.0357,0.0457,0.01,0.00143,-0.00448
2020,2,27,5,AR,0.0714,0.02,0.0671,0.0257,0.0214,-0.00429,0.00286
2020,2,27,6,CA,0.0286,0.0114,0.119,0.0129,0.0214,-0.00286,0.00193
2020,2,27,8,CO,0.0186,0.0214,-0.0643,0.0157,0.0286,-0.00143,-0.000284
2020,2,27,9,CT,0.0471,-0.00429,0.273,0.0486,0.0243,-0.00286,0.00653
2020,2,27,10,DE,0.0443,0.0143,0.166,0.0457,0.0271,-0.00429,0.00731
2020,2,27,11,DC,0.0129,-0.0386,0.0929,0.04,0.0114,0.00143,0.000952
2020,2,27,12,FL,0.0386,0.0143,0.0386,0.0357,0.0114,0,0.0000535
2020,2,27,13,GA,0.04,0.00857,0.129,0.0286,0.0114,-0.00429,0.00676
2020,2,27,15,HI,0.0186,0.00714,0.0943,0.01,0.01,0,0.00111
2020,2,27,16,ID,0.0743,0.0586,0.321,0.0786,0.0343,-0.0114,0.0146
2020,2,27,17,IL,0.0429,0.0371,0.231,0.0286,0.0243,-0.00429,0.00921
2020,2,27,18,IN,0.0529,0.0157,0.207,0.0543,0.0157,0,0.00297
2020,2,27,19,IA,0.0629,0.0986,0.259,0.0114,0.0343,-0.01,0.0152
2020,2,27,20,KS,0.07,2.66E-10,0.173,0.0157,0.0357,-0.00857,0.0099
2020,2,27,21,KY,0.0514,0.0471,0.141,0.0357,0.0214,-0.00143,0.00453
2020,2,27,22,LA,0.141,0.0829,0.296,0.227,-0.09,0.00571,-0.00123
2020,2,27,23,ME,0.05,0.00714,0.144,0.0914,-0.00429,0.00571,-0.00142
2020,2,27,24,MD,0.0257,0.00143,0.173,0.0129,0.03,-0.00429,0.00792
2020,2,27,25,MA,0.0414,-0.0143,0.244,0.03,0.01,0,0.00295
2020,2,27,26,MI,0.0257,-0.00571,0.21,0.09,-0.00143,0.00714,-0.00287
2020,2,27,27,MN,0.0514,0.0343,0.111,0.0571,0.0243,-0.00714,0.0116
2020,2,27,28,MS,0.09,0.0357,0.109,0.103,-0.00286,-0.00286,0.00359
2020,2,27,29,MO,0.0714,0.0314,0.176,0.0457,0.06,-0.01,0.0136
2020,2,27,30,MT,0.0686,0.0271,0.0143,0.0557,0.02,-0.00571,0.00692
2020,2,27,31,NE,0.0743,0.0371,0.286,0.0557,0.0214,-0.00571,0.0095
2020,2,27,32,NV,0.0457,0.0286,0.103,0.0314,0.00429,-0.00143,0.00204
2020,2,27,33,NH,0.0414,-0.0271,0.219,0.144,-0.0457,0.00571,-0.00206
2020,2,27,34,NJ,0.0243,-0.00143,0.286,0.0214,0.0229,-0.00143,0.00403
2020,2,27,35,NM,0.0571,0.0529,0.00286,0.0414,0.0229,-0.00429,0.00321
2020,2,27,36,NY,0.03,-0.00571,0.134,-0.00286,0.0114,0.00286,-0.000175
2020,2,27,37,NC,0.0314,-0.0286,0.103,0.0371,-0.00429,0.00857,-0.00781
2020,2,27,38,ND,0.0629,0.00286,0.117,0.0571,0.03,-0.00714,0.0124
2020,2,27,39,OH,0.0457,0.00857,0.224,0.0443,0.0171,0,0.00335
2020,2,27,40,OK,0.0571,0.0186,-0.00143,0.0443,0.0243,-0.00286,0.00147
2020,2,27,41,OR,0.0771,0.0314,0.386,0.0571,0.0243,-0.01,0.0125
2020,2,27,42,PA,0.0529,0.0114,0.291,0.03,0.0257,-0.00143,0.00419
2020,2,27,44,RI,0.0686,-0.0314,0.447,0.0386,0.0186,-0.00286,0.00594
2020,2,27,45,SC,0.0571,0.00857,0.0429,0.0671,0.0186,-0.00143,0.00398
2020,2,27,46,SD,0.0329,0.0743,0.133,0.03,0.0171,-0.00143,0.00546
2020,2,27,47,TN,0.0514,0.0171,0.137,0.0386,0.0229,-0.00429,0.00606
2020,2,27,48,TX,0.0543,0.0243,0.0543,0.0357,0.0286,-0.00857,0.00976
2020,2,27,49,UT,0.0714,0.0971,0.259,0.0529,0.03,-0.00714,0.00872
2020,2,27,50,VT,0.0543,0.00714,0.149,0.0786,-0.0443,0.00714,-0.00366
2020,2,27,51,VA,0.0343,0.01,0.134,0.0371,0.0171,-0.00143,0.0043
2020,2,27,53,WA,0.0629,0.01,0.349,0.0571,0.0143,-0.00714,0.00862
2020,2,27,54,WV,0.07,-0.00286,0.154,0.0357,0.0157,0.00143,0.00106
2020,2,27,55,WI,0.0557,0.0357,0.217,0.0357,0.03,-0.00429,0.00944
2020,2,27,56,WY,0.0457,0.0657,0.0529,0.0543,0.0257,0.00143,-0.000337
2020,2,28,1,AL,0.0757,0.0329,0.179,0.0971,0.0114,-0.00286,0.00354
2020,2,28,2,AK,0.0871,0.0343,0.1,0.0371,0.0329,-0.00714,0.00961
2020,2,28,4,AZ,0.0557,0.0186,0.0357,0.05,0.0143,0,-0.00309
2020,2,28,5,AR,0.09,0.0329,0.109,0.0314,0.0229,-0.00714,0.00562
2020,2,28,6,CA,0.0329,0.0171,0.121,0.0157,0.0243,-0.00429,0.00331
2020,2,28,8,CO,0.0243,0.0271,-0.0357,0.0171,0.0286,-0.00286,0.0011
2020,2,28,9,CT,0.0514,0.00286,0.279,0.0514,0.0271,-0.00429,0.00792
2020,2,28,10,DE,0.0529,0.0214,0.177,0.0457,0.0286,-0.00571,0.00869
2020,2,28,11,DC,0.0214,-0.0271,0.0757,0.0486,0.02,-0.00286,0.0051
2020,2,28,12,FL,0.0457,0.0214,0.0614,0.0429,0.0129,-0.00286,0.00282
2020,2,28,13,GA,0.05,0.0157,0.139,0.0329,0.0186,-0.00714,0.00952
2020,2,28,15,HI,0.02,0.0114,0.0829,0.00571,0.01,-0.00143,0.00249
2020,2,28,16,ID,0.0829,0.0657,0.356,0.0814,0.0314,-0.0129,0.016
2020,2,28,17,IL,0.0486,0.0429,0.231,0.0314,0.0214,-0.00429,0.00921
2020,2,28,18,IN,0.0586,0.0214,0.201,0.0586,0.0143,0,0.00297
2020,2,28,19,IA,0.0657,0.106,0.261,0.0143,0.0371,-0.01,0.0152
2020,2,28,20,KS,0.0814,0.01,0.23,0.0314,0.0371,-0.0114,0.0127
2020,2,28,21,KY,0.0629,0.0571,0.141,0.0357,0.0214,-0.00286,0.00591
2020,2,28,22,LA,0.146,0.0871,0.309,0.219,-0.0914,0.00571,-0.00123
2020,2,28,23,ME,0.0571,0.0143,0.15,0.0986,0.0143,0.00143,0.00273
2020,2,28,24,MD,0.03,0.00571,0.184,0.0157,0.03,-0.00429,0.00792
2020,2,28,25,MA,0.0486,-0.00429,0.254,0.0443,0.0271,-0.00429,0.0071
2020,2,28,26,MI,0.03,-0.00143,0.201,0.0986,-0.00143,0.00571,-0.00149
2020,2,28,27,MN,0.0557,0.0343,0.103,0.0571,0.0243,-0.00857,0.013
2020,2,28,28,MS,0.11,0.0471,0.131,0.104,-0.00143,-0.00714,0.00774
2020,2,28,29,MO,0.0814,0.04,0.196,0.0514,0.06,-0.0114,0.015
2020,2,28,30,MT,0.0786,0.0343,0.0386,0.0614,0.0186,-0.00571,0.00692
2020,2,28,31,NE,0.08,0.0457,0.303,0.0614,0.0243,-0.00857,0.0123
