year,month,day,statefips,State,case_rate,new_case_rate
2020,1,29,36,NY,0,0
2020,1,29,37,NC,0,0
2020,1,29,38,ND,0,0
2020,1,29,39,OH,0,0
2020,1,29,40,OK,0,0
2020,1,29,41,OR,0,0
2020,1,29,42,PA,0,0
2020,1,29,44,RI,0,0
2020,1,29,45,SC,0,0
2020,1,29,46,SD,0,0
2020,1,29,47,TN,0,0
2020,1,29,48,TX,0,0
2020,1,29,49,UT,0,0
2020,1,29,50,VT,0,0
2020,1,29,51,VA,0,0
2020,1,29,53,WA,0.0131,0
2020,1,29,54,WV,0,0
2020,1,29,55,WI,0,0
2020,1,29,56,WY,0,0
2020,1,30,1,AL,0,0
2020,1,30,2,AK,0,0
2020,1,30,4,AZ,0.0137,0.00196
2020,1,30,5,AR,0,0
2020,1,30,6,CA,0.00506,0.000723
2020,1,30,8,CO,0,0
2020,1,30,9,CT,0,0
2020,1,30,10,DE,0,0
2020,1,30,11,DC,0,0
2020,1,30,12,FL,0,0
2020,1,30,13,GA,0,0
2020,1,30,15,HI,0,0
2020,1,30,16,ID,0,0
2020,1,30,17,IL,0.0158,0.00225
2020,1,30,18,IN,0,0
2020,1,30,19,IA,0,0
2020,1,30,20,KS,0,0
2020,1,30,21,KY,0,0
2020,1,30,22,LA,0,0
2020,1,30,23,ME,0,0
2020,1,30,24,MD,0,0
2020,1,30,25,MA,0,0
2020,1,30,26,MI,0,0
2020,1,30,27,MN,0,0
2020,1,30,28,MS,0,0
2020,1,30,29,MO,0,0
2020,1,30,30,MT,0,0
2020,1,30,31,NE,0,0
2020,1,30,32,NV,0,0
2020,1,30,33,NH,0,0
2020,1,30,34,NJ,0,0
2020,1,30,35,NM,0,0
2020,1,30,36,NY,0,0
2020,1,30,37,NC,0,0
2020,1,30,38,ND,0,0
2020,1,30,39,OH,0,0
2020,1,30,40,OK,0,0
2020,1,30,41,OR,0,0
2020,1,30,42,PA,0,0
2020,1,30,44,RI,0,0
2020,1,30,45,SC,0,0
2020,1,30,46,SD,0,0
2020,1,30,47,TN,0,0
2020,1,30,48,TX,0,0
2020,1,30,49,UT,0,0
2020,1,30,50,VT,0,0
2020,1,30,51,VA,0,0
2020,1,30,53,WA,0.0131,0
2020,1,30,54,WV,0,0
2020,1,30,55,WI,0,0
2020,1,30,56,WY,0,0
2020,1,31,1,AL,0,0
2020,1,31,2,AK,0,0
2020,1,31,4,AZ,0.0137,0.00196
2020,1,31,5,AR,0,0
2020,1,31,6,CA,0.00759,0.00108
2020,1,31,8,CO,0,0
2020,1,31,9,CT,0,0
2020,1,31,10,DE,0,0
2020,1,31,11,DC,0,0
2020,1,31,12,FL,0,0
2020,1,31,13,GA,0,0
2020,1,31,15,HI,0,0
2020,1,31,16,ID,0,0
2020,1,31,17,IL,0.0158,0.00113
2020,1,31,18,IN,0,0
2020,1,31,19,IA,0,0
2020,1,31,20,KS,0,0
2020,1,31,21,KY,0,0
2020,1,31,22,LA,0,0
2020,1,31,23,ME,0,0
2020,1,31,24,MD,0,0
2020,1,31,25,MA,0,0
2020,1,31,26,MI,0,0
2020,1,31,27,MN,0,0
2020,1,31,28,MS,0,0
2020,1,31,29,MO,0,0
2020,1,31,30,MT,0,0
2020,1,31,31,NE,0,0
2020,1,31,32,NV,0,0
2020,1,31,33,NH,0,0
2020,1,31,34,NJ,0,0
2020,1,31,35,NM,0,0
2020,1,31,36,NY,0,0
2020,1,31,37,NC,0,0
2020,1,31,38,ND,0,0
2020,1,31,39,OH,0,0
2020,1,31,40,OK,0,0
2020,1,31,41,OR,0,0
2020,1,31,42,PA,0,0
2020,1,31,44,RI,0,0
2020,1,31,45,SC,0,0
2020,1,31,46,SD,0,0
2020,1,31,47,TN,0,0
2020,1,31,48,TX,0,0
2020,1,31,49,UT,0,0
2020,1,31,50,VT,0,0
2020,1,31,51,VA,0,0
2020,1,31,53,WA,0.0131,0
2020,1,31,54,WV,0,0
2020,1,31,55,WI,0,0
2020,1,31,56,WY,0,0
2020,2,1,1,AL,0,0
2020,2,1,2,AK,0,0
2020,2,1,4,AZ,0.0137,0.00196
2020,2,1,5,AR,0,0
2020,2,1,6,CA,0.00759,0.000723
2020,2,1,8,CO,0,0
2020,2,1,9,CT,0,0
2020,2,1,10,DE,0,0
2020,2,1,11,DC,0,0
2020,2,1,12,FL,0,0
2020,2,1,13,GA,0,0
2020,2,1,15,HI,0,0
2020,2,1,16,ID,0,0
2020,2,1,17,IL,0.0158,0.00113
2020,2,1,18,IN,0,0
2020,2,1,19,IA,0,0
2020,2,1,20,KS,0,0
2020,2,1,21,KY,0,0
2020,2,1,22,LA,0,0
2020,2,1,23,ME,0,0
2020,2,1,24,MD,0,0
2020,2,1,25,MA,0.0145,0.00207
2020,2,1,26,MI,0,0
2020,2,1,27,MN,0,0
2020,2,1,28,MS,0,0
2020,2,1,29,MO,0,0
2020,2,1,30,MT,0,0
2020,2,1,31,NE,0,0
2020,2,1,32,NV,0,0
2020,2,1,33,NH,0,0
2020,2,1,34,NJ,0,0
2020,2,1,35,NM,0,0
2020,2,1,36,NY,0,0
2020,2,1,37,NC,0,0
2020,2,1,38,ND,0,0
2020,2,1,39,OH,0,0
2020,2,1,40,OK,0,0
2020,2,1,41,OR,0,0
2020,2,1,42,PA,0,0
2020,2,1,44,RI,0,0
2020,2,1,45,SC,0,0
2020,2,1,46,SD,0,0
2020,2,1,47,TN,0,0
2020,2,1,48,TX,0,0
2020,2,1,49,UT,0,0
2020,2,1,50,VT,0,0
2020,2,1,51,VA,0,0
2020,2,1,53,WA,0.0131,0
2020,2,1,54,WV,0,0
2020,2,1,55,WI,0,0
2020,2,1,56,WY,0,0
2020,2,2,1,AL,0,0
2020,2,2,2,AK,0,0
2020,2,2,4,AZ,0.0137,0
2020,2,2,5,AR,0,0
2020,2,2,6,CA,0.0152,0.00145
2020,2,2,8,CO,0,0
2020,2,2,9,CT,0,0
2020,2,2,10,DE,0,0
2020,2,2,11,DC,0,0
2020,2,2,12,FL,0,0
2020,2,2,13,GA,0,0
2020,2,2,15,HI,0,0
2020,2,2,16,ID,0,0
2020,2,2,17,IL,0.0158,0.00113
2020,2,2,18,IN,0,0
2020,2,2,19,IA,0,0
2020,2,2,20,KS,0,0
2020,2,2,21,KY,0,0
2020,2,2,22,LA,0,0
2020,2,2,23,ME,0,0
2020,2,2,24,MD,0,0
2020,2,2,25,MA,0.0145,0.00207
2020,2,2,26,MI,0,0
2020,2,2,27,MN,0,0
2020,2,2,28,MS,0,0
2020,2,2,29,MO,0,0
2020,2,2,30,MT,0,0
2020,2,2,31,NE,0,0
2020,2,2,32,NV,0,0
2020,2,2,33,NH,0,0
2020,2,2,34,NJ,0,0
2020,2,2,35,NM,0,0
2020,2,2,36,NY,0,0
2020,2,2,37,NC,0,0
2020,2,2,38,ND,0,0
2020,2,2,39,OH,0,0
2020,2,2,40,OK,0,0
2020,2,2,41,OR,0,0
2020,2,2,42,PA,0,0
2020,2,2,44,RI,0,0
2020,2,2,45,SC,0,0
2020,2,2,46,SD,0,0
2020,2,2,47,TN,0,0
2020,2,2,48,TX,0,0
2020,2,2,49,UT,0,0
2020,2,2,50,VT,0,0
2020,2,2,51,VA,0,0
2020,2,2,53,WA,0.0131,0
2020,2,2,54,WV,0,0
2020,2,2,55,WI,0,0
2020,2,2,56,WY,0,0
2020,2,3,1,AL,0,0
2020,2,3,2,AK,0,0
2020,2,3,4,AZ,0.0137,0
2020,2,3,5,AR,0,0
2020,2,3,6,CA,0.0152,0.00145
2020,2,3,8,CO,0,0
2020,2,3,9,CT,0,0
2020,2,3,10,DE,0,0
2020,2,3,11,DC,0,0
2020,2,3,12,FL,0,0
2020,2,3,13,GA,0,0
2020,2,3,15,HI,0,0
2020,2,3,16,ID,0,0
2020,2,3,17,IL,0.0158,0.00113
2020,2,3,18,IN,0,0
2020,2,3,19,IA,0,0
2020,2,3,20,KS,0,0
2020,2,3,21,KY,0,0
2020,2,3,22,LA,0,0
2020,2,3,23,ME,0,0
2020,2,3,24,MD,0,0
2020,2,3,25,MA,0.0145,0.00207
2020,2,3,26,MI,0,0
2020,2,3,27,MN,0,0
2020,2,3,28,MS,0,0
2020,2,3,29,MO,0,0
2020,2,3,30,MT,0,0
2020,2,3,31,NE,0,0
2020,2,3,32,NV,0,0
2020,2,3,33,NH,0,0
2020,2,3,34,NJ,0,0
2020,2,3,35,NM,0,0
2020,2,3,36,NY,0,0
2020,2,3,37,NC,0,0
2020,2,3,38,ND,0,0
2020,2,3,39,OH,0,0
2020,2,3,40,OK,0,0
2020,2,3,41,OR,0,0
2020,2,3,42,PA,0,0
2020,2,3,44,RI,0,0
2020,2,3,45,SC,0,0
2020,2,3,46,SD,0,0
2020,2,3,47,TN,0,0
2020,2,3,48,TX,0,0
2020,2,3,49,UT,0,0
2020,2,3,50,VT,0,0
2020,2,3,51,VA,0,0
2020,2,3,53,WA,0.0131,0
2020,2,3,54,WV,0,0
2020,2,3,55,WI,0,0
2020,2,3,56,WY,0,0
2020,2,4,1,AL,0,0
2020,2,4,2,AK,0,0
2020,2,4,4,AZ,0.0137,0
2020,2,4,5,AR,0,0
2020,2,4,6,CA,0.0152,0.00145
2020,2,4,8,CO,0,0
2020,2,4,9,CT,0,0
2020,2,4,10,DE,0,0
2020,2,4,11,DC,0,0
2020,2,4,12,FL,0,0
2020,2,4,13,GA,0,0
2020,2,4,15,HI,0,0
2020,2,4,16,ID,0,0
2020,2,4,17,IL,0.0158,0.00113
2020,2,4,18,IN,0,0
2020,2,4,19,IA,0,0
2020,2,4,20,KS,0,0
2020,2,4,21,KY,0,0
2020,2,4,22,LA,0,0
2020,2,4,23,ME,0,0
2020,2,4,24,MD,0,0
2020,2,4,25,MA,0.0145,0.00207
2020,2,4,26,MI,0,0
2020,2,4,27,MN,0,0
2020,2,4,28,MS,0,0
2020,2,4,29,MO,0,0
2020,2,4,30,MT,0,0
2020,2,4,31,NE,0,0
2020,2,4,32,NV,0,0
2020,2,4,33,NH,0,0
2020,2,4,34,NJ,0,0
2020,2,4,35,NM,0,0
2020,2,4,36,NY,0,0
2020,2,4,37,NC,0,0
2020,2,4,38,ND,0,0
2020,2,4,39,OH,0,0
2020,2,4,40,OK,0,0
2020,2,4,41,OR,0,0
2020,2,4,42,PA,0,0
2020,2,4,44,RI,0,0
2020,2,4,45,SC,0,0
2020,2,4,46,SD,0,0
2020,2,4,47,TN,0,0
2020,2,4,48,TX,0,0
2020,2,4,49,UT,0,0
2020,2,4,50,VT,0,0
2020,2,4,51,VA,0,0
2020,2,4,53,WA,0.0131,0
2020,2,4,54,WV,0,0
2020,2,4,55,WI,0,0
2020,2,4,56,WY,0,0
2020,2,5,1,AL,0,0
2020,2,5,2,AK,0,0
2020,2,5,4,AZ,0.0137,0
2020,2,5,5,AR,0,0
2020,2,5,6,CA,0.0152,0.00145
2020,2,5,8,CO,0,0
2020,2,5,9,CT,0,0
2020,2,5,10,DE,0,0
2020,2,5,11,DC,0,0
2020,2,5,12,FL,0,0
2020,2,5,13,GA,0,0
2020,2,5,15,HI,0,0
2020,2,5,16,ID,0,0
2020,2,5,17,IL,0.0158,0.00113
2020,2,5,18,IN,0,0
2020,2,5,19,IA,0,0
2020,2,5,20,KS,0,0
2020,2,5,21,KY,0,0
2020,2,5,22,LA,0,0
2020,2,5,23,ME,0,0
2020,2,5,24,MD,0,0
2020,2,5,25,MA,0.0145,0.00207
2020,2,5,26,MI,0,0
2020,2,5,27,MN,0,0
2020,2,5,28,MS,0,0
2020,2,5,29,MO,0,0
2020,2,5,30,MT,0,0
2020,2,5,31,NE,0,0
2020,2,5,32,NV,0,0
2020,2,5,33,NH,0,0
2020,2,5,34,NJ,0,0
2020,2,5,35,NM,0,0
2020,2,5,36,NY,0,0
2020,2,5,37,NC,0,0
2020,2,5,38,ND,0,0
2020,2,5,39,OH,0,0
2020,2,5,40,OK,0,0
2020,2,5,41,OR,0,0
2020,2,5,42,PA,0,0
2020,2,5,44,RI,0,0
2020,2,5,45,SC,0,0
2020,2,5,46,SD,0,0
2020,2,5,47,TN,0,0
2020,2,5,48,TX,0,0
2020,2,5,49,UT,0,0
2020,2,5,50,VT,0,0
2020,2,5,51,VA,0,0
2020,2,5,53,WA,0.0131,0
2020,2,5,54,WV,0,0
2020,2,5,55,WI,0.0172,0.00245
2020,2,5,56,WY,0,0
2020,2,6,1,AL,0,0
2020,2,6,2,AK,0,0
2020,2,6,4,AZ,0.0137,0
2020,2,6,5,AR,0,0
2020,2,6,6,CA,0.0152,0.00145
2020,2,6,8,CO,0,0
