year,month,day,statefips,State,RevenueChange
2020,1,17,48,TX,-0.00733
2020,1,17,49,UT,-0.0349
2020,1,17,50,VT,-0.0481
2020,1,17,51,VA,0.0586
2020,1,17,53,WA,-0.0746
2020,1,17,54,WV,0.0217
2020,1,17,55,WI,-0.0602
2020,1,17,56,WY,-0.0341
2020,1,18,1,AL,0.00842
2020,1,18,2,AK,-0.0354
2020,1,18,4,AZ,0.018
2020,1,18,5,AR,0.0235
2020,1,18,6,CA,0.0349
2020,1,18,8,CO,0.002
2020,1,18,9,CT,-0.0346
2020,1,18,10,DE,0.000997
2020,1,18,11,DC,0.0694
2020,1,18,12,FL,0.0111
2020,1,18,13,GA,0.000618
2020,1,18,15,HI,-0.0363
2020,1,18,16,ID,0.00742
2020,1,18,17,IL,-0.0409
2020,1,18,18,IN,0.00477
2020,1,18,19,IA,-0.0991
2020,1,18,20,KS,-0.0114
2020,1,18,21,KY,0.0238
2020,1,18,22,LA,-0.000915
2020,1,18,23,ME,-0.0749
2020,1,18,24,MD,0.0263
2020,1,18,25,MA,-0.0189
2020,1,18,26,MI,-0.0666
2020,1,18,27,MN,-0.0742
2020,1,18,28,MS,-0.0153
2020,1,18,29,MO,-0.00413
2020,1,18,30,MT,-0.00679
2020,1,18,31,NE,0.0256
2020,1,18,32,NV,0.0147
2020,1,18,33,NH,0.0112
2020,1,18,34,NJ,-0.031
2020,1,18,35,NM,-0.0305
2020,1,18,36,NY,-0.0389
2020,1,18,37,NC,0.0111
2020,1,18,38,ND,-0.112
2020,1,18,39,OH,-0.0146
2020,1,18,40,OK,-0.0171
2020,1,18,41,OR,-0.01
2020,1,18,42,PA,-0.027
2020,1,18,44,RI,-0.0188
2020,1,18,45,SC,0.0124
2020,1,18,46,SD,-0.0784
2020,1,18,47,TN,0.00568
2020,1,18,48,TX,0.00314
2020,1,18,49,UT,-0.0353
2020,1,18,50,VT,-0.029
2020,1,18,51,VA,0.0628
2020,1,18,53,WA,-0.068
2020,1,18,54,WV,0.026
2020,1,18,55,WI,-0.0627
2020,1,18,56,WY,-0.0192
2020,1,19,1,AL,0.0164
2020,1,19,2,AK,-0.0332
2020,1,19,4,AZ,0.012
2020,1,19,5,AR,0.0362
2020,1,19,6,CA,0.032
2020,1,19,8,CO,-0.01
2020,1,19,9,CT,-0.0328
2020,1,19,10,DE,-0.00898
2020,1,19,11,DC,0.067
2020,1,19,12,FL,0.0128
2020,1,19,13,GA,0.00446
2020,1,19,15,HI,-0.0237
2020,1,19,16,ID,0.00864
2020,1,19,17,IL,-0.0249
2020,1,19,18,IN,-0.00294
2020,1,19,19,IA,-0.0966
2020,1,19,20,KS,-0.0146
2020,1,19,21,KY,0.0113
2020,1,19,22,LA,0.00823
2020,1,19,23,ME,-0.0703
2020,1,19,24,MD,0.0226
2020,1,19,25,MA,-0.0141
2020,1,19,26,MI,-0.0378
2020,1,19,27,MN,-0.0739
2020,1,19,28,MS,-0.0117
2020,1,19,29,MO,-0.036
2020,1,19,30,MT,-0.00523
2020,1,19,31,NE,0.0129
2020,1,19,32,NV,0.0145
2020,1,19,33,NH,0.014
2020,1,19,34,NJ,-0.0241
2020,1,19,35,NM,-0.0311
2020,1,19,36,NY,-0.0247
2020,1,19,37,NC,0.00469
2020,1,19,38,ND,-0.0982
2020,1,19,39,OH,0.00217
2020,1,19,40,OK,-0.00835
2020,1,19,41,OR,0.000202
2020,1,19,42,PA,-0.0123
2020,1,19,44,RI,-0.0237
2020,1,19,45,SC,0.0113
2020,1,19,46,SD,-0.0685
2020,1,19,47,TN,0.00894
2020,1,19,48,TX,0.00634
2020,1,19,49,UT,-0.0286
2020,1,19,50,VT,-0.0226
2020,1,19,51,VA,0.0442
2020,1,19,53,WA,-0.0597
2020,1,19,54,WV,-0.00582
2020,1,19,55,WI,-0.0522
2020,1,19,56,WY,-0.0147
2020,1,20,1,AL,0.0236
2020,1,20,2,AK,-0.0161
2020,1,20,4,AZ,-0.00144
2020,1,20,5,AR,0.0275
2020,1,20,6,CA,0.0169
2020,1,20,8,CO,-0.0174
2020,1,20,9,CT,0.00962
2020,1,20,10,DE,-0.00894
2020,1,20,11,DC,-0.036
2020,1,20,12,FL,0.0151
2020,1,20,13,GA,0.00955
2020,1,20,15,HI,-0.0284
2020,1,20,16,ID,0.00516
2020,1,20,17,IL,-0.0255
2020,1,20,18,IN,-0.00894
2020,1,20,19,IA,-0.0572
2020,1,20,20,KS,-0.0108
2020,1,20,21,KY,0.0152
2020,1,20,22,LA,0.0114
2020,1,20,23,ME,-0.000929
2020,1,20,24,MD,-0.0237
2020,1,20,25,MA,0.0368
2020,1,20,26,MI,-0.0363
2020,1,20,27,MN,-0.0564
2020,1,20,28,MS,-0.0129
2020,1,20,29,MO,-0.0328
2020,1,20,30,MT,0.0435
2020,1,20,31,NE,0.00651
2020,1,20,32,NV,0.0228
2020,1,20,33,NH,0.0623
2020,1,20,34,NJ,-0.000212
2020,1,20,35,NM,-0.0344
2020,1,20,36,NY,0.0141
2020,1,20,37,NC,0.0048
2020,1,20,38,ND,-0.0618
2020,1,20,39,OH,0.0242
2020,1,20,40,OK,-0.00997
2020,1,20,41,OR,0.000592
2020,1,20,42,PA,0.00603
2020,1,20,44,RI,0.0257
2020,1,20,45,SC,0.00757
2020,1,20,46,SD,-0.0205
2020,1,20,47,TN,0.00916
2020,1,20,48,TX,0.00697
2020,1,20,49,UT,-0.0157
2020,1,20,50,VT,0.0391
2020,1,20,51,VA,-0.0118
2020,1,20,53,WA,-0.0462
2020,1,20,54,WV,0.00371
2020,1,20,55,WI,-0.0574
2020,1,20,56,WY,-0.000371
2020,1,21,1,AL,0.0369
2020,1,21,2,AK,-0.0247
2020,1,21,4,AZ,0.0113
2020,1,21,5,AR,0.0324
2020,1,21,6,CA,0.0292
2020,1,21,8,CO,-0.00222
2020,1,21,9,CT,0.00962
2020,1,21,10,DE,-0.0061
2020,1,21,11,DC,0.0117
2020,1,21,12,FL,0.018
2020,1,21,13,GA,0.0209
2020,1,21,15,HI,-0.0217
2020,1,21,16,ID,0.0146
2020,1,21,17,IL,-0.0114
2020,1,21,18,IN,0.00731
2020,1,21,19,IA,-0.0597
2020,1,21,20,KS,0.00455
2020,1,21,21,KY,0.0243
2020,1,21,22,LA,0.0199
2020,1,21,23,ME,-0.0164
2020,1,21,24,MD,0.0108
2020,1,21,25,MA,0.0195
2020,1,21,26,MI,-0.022
2020,1,21,27,MN,-0.0491
2020,1,21,28,MS,0.0174
2020,1,21,29,MO,-0.0207
2020,1,21,30,MT,0.0199
2020,1,21,31,NE,0.0525
2020,1,21,32,NV,0.02
2020,1,21,33,NH,0.0498
2020,1,21,34,NJ,0.00353
2020,1,21,35,NM,-0.0306
2020,1,21,36,NY,-0.00453
2020,1,21,37,NC,0.0085
2020,1,21,38,ND,-0.0659
2020,1,21,39,OH,0.0317
2020,1,21,40,OK,0.0118
2020,1,21,41,OR,-0.00565
2020,1,21,42,PA,0.0123
2020,1,21,44,RI,0.00132
2020,1,21,45,SC,0.0183
2020,1,21,46,SD,-0.0366
2020,1,21,47,TN,0.0112
2020,1,21,48,TX,0.0166
2020,1,21,49,UT,-0.0202
2020,1,21,50,VT,-0.0179
2020,1,21,51,VA,0.0263
2020,1,21,53,WA,-0.0186
2020,1,21,54,WV,0.00584
2020,1,21,55,WI,-0.0344
2020,1,21,56,WY,0.0154
2020,1,22,1,AL,0.0166
2020,1,22,2,AK,-0.026
2020,1,22,4,AZ,-0.000952
2020,1,22,5,AR,-0.000489
2020,1,22,6,CA,0.0175
2020,1,22,8,CO,-0.00685
2020,1,22,9,CT,-0.00335
2020,1,22,10,DE,0.000264
2020,1,22,11,DC,0.000745
2020,1,22,12,FL,0.00459
2020,1,22,13,GA,0.00315
2020,1,22,15,HI,-0.02
2020,1,22,16,ID,0.00882
2020,1,22,17,IL,-0.0165
2020,1,22,18,IN,0.00315
2020,1,22,19,IA,-0.0629
2020,1,22,20,KS,-0.0228
2020,1,22,21,KY,0.012
